Wl [µm]	T [%]
2.172	81.69979095
2.171	86.45391846
2.170	83.9180603
2.169	84.36569977
2.168	83.29149628
2.167	84.86924744
2.166	83.66008759
2.165	83.03701782
2.164	81.3477478
2.163	81.52510834
2.162	83.54597473
2.161	83.0581131
2.160	82.21755219
2.159	81.25534821
2.158	81.44069672
2.157	82.05652618
2.156	81.83323669
2.155	79.97200775
2.154	82.53578949
2.153	79.5877533
2.152	79.29052734
2.151	82.48429871
2.150	80.11154175
2.149	81.69967651
2.148	83.05445099
2.147	81.55922699
2.146	80.82788086
2.145	81.58769226
2.144	80.57520294
2.143	82.21052551
2.142	78.68016815
2.141	82.56672668
2.140	80.51661682
2.139	81.08908081
2.138	79.89451599
2.137	83.52223206
2.136	80.66217804
2.135	79.18215942
2.134	80.08729553
2.133	80.37203217
2.132	81.12705994
2.131	79.89020538
2.130	79.24514008
2.129	79.24956512
2.128	80.00176239
2.127	80.94321442
2.126	79.24523926
2.125	80.7729187
2.124	79.26576996
2.123	79.00559998
2.122	77.41254425
2.121	76.8134079
2.120	80.65943909
2.119	79.15151978
2.118	78.54383087
2.117	78.89767456
2.116	78.56277466
2.115	79.9109726
2.114	78.63739014
2.113	78.06642914
2.112	76.91906738
2.111	77.63622284
2.110	75.25635529
2.109	76.82341003
2.108	75.64360809
2.107	75.8884964
2.106	74.57371521
2.105	73.97479248
2.104	74.07848358
2.103	73.83953094
2.102	74.10005951
2.101	73.72306824
2.100	73.97792816
2.099	73.33277893
2.098	72.31522369
2.097	71.64124298
2.096	72.25445557
2.095	70.48256683
2.094	69.33612061
2.093	70.34751892
2.092	67.733078
2.091	69.00401306
2.090	66.62754059
2.089	68.00762177
2.088	67.62809753
2.087	65.49342346
2.086	63.93647003
2.085	65.53748322
2.084	61.95628738
2.083	59.46630859
2.082	59.66447449
2.081	58.19896317
2.080	56.44835663
2.079	54.60587692
2.078	52.38959122
2.077	50.82976151
2.076	49.27404404
2.075	46.40301895
2.074	44.85907745
2.073	44.01032639
2.072	42.54633331
2.071	40.10176849
2.070	37.42044067
2.069	35.67810822
2.068	33.61761093
2.067	31.23604012
2.066	29.66092873
2.065	27.85440636
2.064	26.06363869
2.063	24.4209671
2.062	22.69686699
2.061	21.27790833
2.060	19.53803062
2.059	18.25828171
2.058	16.81607056
2.057	15.64719391
2.056	14.60108948
2.055	13.39804649
2.054	12.17348671
2.053	11.02941704
2.052	10.15750504
2.051	9.662813187
2.050	8.987108231
2.049	7.621488571
2.048	7.101226807
2.047	6.778866768
2.046	6.472000599
2.045	5.749946594
2.044	5.170300484
2.043	5.078052998
2.042	4.389728069
2.041	4.111711979
2.040	3.491080999
2.039	3.5732162
2.038	3.130178928
2.037	2.94191885
2.036	2.983829498
2.035	2.503650904
2.034	2.646217585
2.033	2.238176584
2.032	2.176599503
2.031	1.995051503
2.030	1.86838448
2.029	1.338945746
2.028	1.673034191
2.027	1.702405691
2.026	1.530206442
2.025	1.604040861
2.024	1.288720369
2.023	1.286022544
2.022	1.019810081
2.021	1.036089063
2.020	1.21113801
2.019	0.926012635
2.018	1.038115978
2.017	0.735243321
2.016	0.894275487
2.015	0.749970496
2.014	0.695117474
2.013	0.87544781
2.012	0.613438189
2.011	0.619288087
2.010	0.524811447
2.009	0.513369441
2.008	0.599029124
2.007	0.508262754
2.006	0.465612382
2.005	0.454733938
2.004	0.286183387
2.003	0.516169727
2.002	0.37853998
2.001	0.385531157
2.000	0.502252162
1.999	0.36870414
1.998	0.373131156
1.997	0.347996891
1.996	0.333128035
1.995	0.308282077
1.994	0.299496651
1.993	0.265533805
1.992	0.250676125
1.991	0.237543881
1.990	0.251418203
1.989	0.230975792
1.988	0.203962714
1.987	0.201440349
1.986	0.195460051
1.985	0.202002987
